yi,vi,randomized,autors,pyears
-0.3883008,0.1138651,False,ACE ,2013
0.001426734,0.008177298,False,ACE ,2013
-0.0778248344251467,0.0156277207761026,False,ACE ,2013
0.395127,0.05670225,True,Amiot ,2018
0.1092,0.006,True,Anderson ,2016
0.07114,0.001103623,True,Anderson ,2017
0.17653,0.006292858,True,Anderson ,2017
0.12344446705766,0.0161162957003022,True,Bertolaso ,2015
0.310272655984249,0.0168683490616654,True,Bertolaso ,2015
0.228616766985238,0.0154235912514613,True,Bertolaso ,2015
0.285369992305853,0.0156368951414019,True,Bertolaso ,2015
0.382493747285943,0.0474493376257119,True,Byrd-Bredbenner ,2010
0.72,0.0679,True,Caldwell ,2016
0.5041,0.0844,True,Caldwell ,2016
0.304111858143918,0.0114905535848697,True,Caldwell ,2017
0.247354285385813,0.0118027901968592,True,Caldwell ,2017
0.10058506599129,0.0129322943386893,True,Caldwell ,2017
-0.118305012628413,0.0296758296762902,False,Cooney ,2014
0.0061400366293436,0.0179986076866442,False,Cooney ,2014
-0.0304231996789343,0.0186617590063628,False,Cooney ,2014
0.0534217444839396,0.0215076549874847,False,Cooney ,2014
0.081429018693521,0.0178329156067095,False,Cooney ,2014
0.0084434520561047,0.0242149451631579,False,Cooney ,2014
-0.0956313232211962,0.0271859268131303,False,Cooney ,2014
-0.0836335206629792,0.0190496382204289,False,Cooney ,2014
-0.0107,0.0026,True,Cooney ,2016
0.785122741396379,0.0294288030340315,True,Cordts ,2014
0.538183229496483,0.0804702430939741,True,Doebel ,2015
0.458354887904454,0.0794666643979177,True,Doebel ,2015
0.294567011794039,0.0816697065736585,True,Doebel ,2015
0.218197091864461,0.0815705207907224,True,Doebel ,2015
0.591412835686799,0.0121726999194366,True,Earle ,2019
0.677694134991221,0.0134377687250823,True,Earle ,2019
-0.097042648675473,0.0333542265822522,False,Feltz ,2019
0.409786900682207,0.0032443605582775,False,FIAPO ,2017
1.57307026826323,2.20515873015873,False,FIAPO ,2017
0.928400180285369,0.0037582165974678,False,FIAPO ,2017
-0.0551030274916941,0.0199350333781618,False,Flens ,2018
-0.224233654836919,0.0154838629630168,True,Hennessy ,2016
-0.12560394765318,0.0152806959007335,True,Hennessy ,2016
0.3735,0.017,True,Kunst ,2016
0.3167,0.029,True,Kunst ,2016
0.3866,0.0148,True,Kunst ,2016
0.1361,0.0184,True,Kunst ,2016
0.3909,0.0155,True,Kunst ,2018
0.1714,0.0189,True,Kunst ,2018
-0.3542,0.0817,True,Lackner ,2019
0.077449,0.002377879,True,MacDonald ,2016
0.060872,0.002475808,True,MacDonald ,2016
-0.05842669,0.02098244,True,Norris ,2014
-0.108307,0.01944182,True,Norris ,2014
0.314493329902438,0.0041791273675331,False,Norris ,2016
0.580160317167055,0.005234531550321,False,Norris ,2016
0.354545017680907,0.0042341484069016,False,Norris ,2016
0.3003748992502,0.0043401065298875,False,Norris ,2016
0.0599,0.00615334,False,Norris ,2019
0.16431,0.0060461344,False,Norris ,2019
0.153348883624256,0.0583708217160505,True,Novotna ,2019
0.483541050157845,0.0611365218915119,True,Novotna ,2019
0.2319,0.023,True,Palomo-Velez ,2018
0.1133,0.0259,True,Palomo-Velez ,2018
0.202,0.0123,True,Palomo-Velez ,2018
0.42744401482694,0.297308488612836,True,Reese ,2015
0.226773319364788,0.274220465524813,True,Reese ,2015
0.527527473383922,0.294802222948676,True,Reese ,2015
0.336472236621213,0.299378881987578,True,Reese ,2015
1.02295272582297,0.231928132534806,True,Reese ,2015
-0.0395789862806581,0.306192639288032,True,Reese ,2015
0.20430046351273,0.322705314009662,True,Reese ,2015
0.0674412807955327,0.355005055611729,True,Reese ,2015
0.20430046351273,0.322705314009662,True,Reese ,2015
0.737598943130779,0.255533596837945,True,Reese ,2015
0.358451143339988,0.298895790200138,True,Reese ,2015
0.737598943130779,0.255533596837945,True,Reese ,2015
0.632238427472953,0.266644707949056,True,Reese ,2015
0.71512608727872,0.256038647342995,True,Reese ,2015
0.249762837589487,0.321671722278396,True,Reese ,2015
-0.225246601510989,0.0738578472324602,True,Reese ,2015
-0.393630650461162,0.0805166511048864,True,Reese ,2015
0.403203590617197,0.0273178948938246,True,Rouk ,2017
0.0614542968951408,0.0380391424571774,True,Rouk ,2017
0.618951439970278,0.0226192846354108,True,Rouk ,2017
0.401227956125408,0.0279071812276552,True,Rouk ,2017
0.166814812552967,0.0343354387534737,True,Rouk ,2017
0.469239166741951,0.0259296591511232,True,Rouk ,2017
0.201727586257383,0.0492174922187081,True,Schnabelrauch Arndt ,2016
0.0228257951892128,0.0427938978035874,True,Schnabelrauch Arndt ,2016
0.230833613589747,0.0502501547314834,True,Schnabelrauch Arndt ,2016
0.438998047498252,0.0513064814628802,True,Schnabelrauch Arndt ,2016
0.074850699774406,0.0498889310200729,True,Schnabelrauch Arndt ,2016
0.280621255736556,0.050443064822455,True,Schnabelrauch Arndt ,2016
0.13597,0.007144952,False,Schwitzgebel ,2019
0.208576906435579,0.0255280250763775,True,Silva ,2016
0.163501362620443,0.0249501388931346,True,Silva ,2016
-0.356674943938732,0.151948051948052,True,Spanikova ,2015
-0.22314355131421,0.134090909090909,True,Spanikova ,2015
0.262758486775414,0.0240897764121935,True,Tian ,2016
0.155212645644867,0.0270648657080368,True,Tian ,2016
-0.0543487541660877,0.0304754169188533,True,Tian ,2016
-0.0142054046399993,0.021933126869713,True,Tian ,2016
